wave =   1.10000   15.0(v) x   2.0(h)  1.55e+12 phs/sec Dose[10MGy]/sec=  0.38 sec
wave =   1.10000    3.0(v) x   3.0(h)  5.81e+11 phs/sec Dose[10MGy]/sec=  0.30 sec
wave =   1.10000    4.0(v) x   4.0(h)  1.06e+12 phs/sec Dose[10MGy]/sec=  0.28 sec
wave =   1.10000    5.0(v) x   5.0(h)  1.66e+12 phs/sec Dose[10MGy]/sec=  0.28 sec
wave =   1.10000   10.0(v) x   5.0(h)  3.26e+12 phs/sec Dose[10MGy]/sec=  0.29 sec
wave =   1.10000   15.0(v) x   5.0(h)  4.50e+12 phs/sec Dose[10MGy]/sec=  0.32 sec
wave =   1.10000   10.0(v) x  10.0(h)  5.96e+12 phs/sec Dose[10MGy]/sec=  0.32 sec
wave =   1.10000   15.0(v) x  10.0(h)  8.25e+12 phs/sec Dose[10MGy]/sec=  0.34 sec
wave =   1.10000    0.8(v) x   1.5(h)  8.11e+10 phs/sec Dose[10MGy]/sec=  0.28 sec
wave =   1.10000    4.3(v) x   3.4(h)  8.47e+11 phs/sec Dose[10MGy]/sec=  0.33 sec
wave =   1.10000   16.3(v) x  10.9(h)  1.15e+13 phs/sec Dose[10MGy]/sec=  0.28 sec
wave =   1.00000    1.0(v) x   1.5(h)  8.08e+10 phs/sec Dose[10MGy]/sec=  0.43 sec
wave =   1.00000    1.5(v) x   1.5(h)  1.18e+11 phs/sec Dose[10MGy]/sec=  0.44 sec
wave =   1.00000    2.0(v) x   1.5(h)  1.53e+11 phs/sec Dose[10MGy]/sec=  0.47 sec
wave =   1.00000    5.0(v) x   1.5(h)  3.69e+11 phs/sec Dose[10MGy]/sec=  0.47 sec
wave =   1.00000   10.0(v) x   1.5(h)  7.26e+11 phs/sec Dose[10MGy]/sec=  0.48 sec
wave =   1.00000   15.0(v) x   1.5(h)  1.03e+12 phs/sec Dose[10MGy]/sec=  0.53 sec
wave =   1.00000    2.0(v) x   2.0(h)  2.34e+11 phs/sec Dose[10MGy]/sec=  0.41 sec
wave =   1.00000    5.0(v) x   2.0(h)  5.63e+11 phs/sec Dose[10MGy]/sec=  0.42 sec
wave =   1.00000   10.0(v) x   2.0(h)  1.10e+12 phs/sec Dose[10MGy]/sec=  0.43 sec
wave =   1.00000   15.0(v) x   2.0(h)  1.57e+12 phs/sec Dose[10MGy]/sec=  0.44 sec
wave =   1.00000    3.0(v) x   3.0(h)  5.79e+11 phs/sec Dose[10MGy]/sec=  0.36 sec
wave =   1.00000    4.0(v) x   4.0(h)  1.06e+12 phs/sec Dose[10MGy]/sec=  0.34 sec
wave =   1.00000    5.0(v) x   5.0(h)  1.64e+12 phs/sec Dose[10MGy]/sec=  0.37 sec
wave =   1.00000   10.0(v) x   5.0(h)  3.20e+12 phs/sec Dose[10MGy]/sec=  0.37 sec
wave =   1.00000   15.0(v) x   5.0(h)  4.55e+12 phs/sec Dose[10MGy]/sec=  0.38 sec
wave =   1.00000   10.0(v) x  10.0(h)  5.89e+12 phs/sec Dose[10MGy]/sec=  0.40 sec
wave =   1.00000   15.0(v) x  10.0(h)  8.29e+12 phs/sec Dose[10MGy]/sec=  0.42 sec
wave =   1.00000    0.8(v) x   1.5(h)  7.77e+10 phs/sec Dose[10MGy]/sec=  0.36 sec
wave =   1.00000    4.3(v) x   3.4(h)  8.43e+11 phs/sec Dose[10MGy]/sec=  0.41 sec
wave =   1.00000   16.3(v) x  10.9(h)  1.15e+13 phs/sec Dose[10MGy]/sec=  0.38 sec
wave =   0.90000    1.0(v) x   1.5(h)  9.11e+10 phs/sec Dose[10MGy]/sec=  0.49 sec
wave =   0.90000    1.5(v) x   1.5(h)  1.32e+11 phs/sec Dose[10MGy]/sec=  0.51 sec
wave =   0.90000    2.0(v) x   1.5(h)  1.69e+11 phs/sec Dose[10MGy]/sec=  0.52 sec
wave =   0.90000    5.0(v) x   1.5(h)  3.93e+11 phs/sec Dose[10MGy]/sec=  0.56 sec
wave =   0.90000   10.0(v) x   1.5(h)  7.67e+11 phs/sec Dose[10MGy]/sec=  0.57 sec
wave =   0.90000   15.0(v) x   1.5(h)  1.08e+12 phs/sec Dose[10MGy]/sec=  0.60 sec
wave =   0.90000    2.0(v) x   2.0(h)  2.56e+11 phs/sec Dose[10MGy]/sec=  0.45 sec
wave =   0.90000    5.0(v) x   2.0(h)  5.96e+11 phs/sec Dose[10MGy]/sec=  0.49 sec
wave =   0.90000   10.0(v) x   2.0(h)  1.16e+12 phs/sec Dose[10MGy]/sec=  0.49 sec
wave =   0.90000   15.0(v) x   2.0(h)  1.64e+12 phs/sec Dose[10MGy]/sec=  0.55 sec
wave =   0.90000    3.0(v) x   3.0(h)  6.11e+11 phs/sec Dose[10MGy]/sec=  0.43 sec
wave =   0.90000    4.0(v) x   4.0(h)  1.11e+12 phs/sec Dose[10MGy]/sec=  0.43 sec
wave =   0.90000    5.0(v) x   5.0(h)  1.73e+12 phs/sec Dose[10MGy]/sec=  0.43 sec
wave =   0.90000   10.0(v) x   5.0(h)  3.37e+12 phs/sec Dose[10MGy]/sec=  0.43 sec
wave =   0.90000   15.0(v) x   5.0(h)  4.74e+12 phs/sec Dose[10MGy]/sec=  0.47 sec
wave =   0.90000   10.0(v) x  10.0(h)  6.12e+12 phs/sec Dose[10MGy]/sec=  0.48 sec
wave =   0.90000   15.0(v) x  10.0(h)  8.63e+12 phs/sec Dose[10MGy]/sec=  0.51 sec
wave =   0.90000    0.8(v) x   1.5(h)  8.81e+10 phs/sec Dose[10MGy]/sec=  0.40 sec
wave =   0.90000    4.3(v) x   3.4(h)  8.83e+11 phs/sec Dose[10MGy]/sec=  0.49 sec
wave =   0.90000   16.3(v) x  10.9(h)  1.18e+13 phs/sec Dose[10MGy]/sec=  0.43 sec
wave =   0.80000    1.0(v) x   1.5(h)  8.98e+10 phs/sec Dose[10MGy]/sec=  0.63 sec
wave =   0.80000    1.5(v) x   1.5(h)  1.27e+11 phs/sec Dose[10MGy]/sec=  0.66 sec
wave =   0.80000    2.0(v) x   1.5(h)  1.60e+11 phs/sec Dose[10MGy]/sec=  0.71 sec
wave =   0.80000    5.0(v) x   1.5(h)  3.69e+11 phs/sec Dose[10MGy]/sec=  0.77 sec
wave =   0.80000   10.0(v) x   1.5(h)  7.09e+11 phs/sec Dose[10MGy]/sec=  0.81 sec
wave =   0.80000   15.0(v) x   1.5(h)  1.00e+12 phs/sec Dose[10MGy]/sec=  0.85 sec
wave =   0.80000    2.0(v) x   2.0(h)  2.45e+11 phs/sec Dose[10MGy]/sec=  0.63 sec
wave =   0.80000    5.0(v) x   2.0(h)  5.62e+11 phs/sec Dose[10MGy]/sec=  0.68 sec
wave =   0.80000   10.0(v) x   2.0(h)  1.08e+12 phs/sec Dose[10MGy]/sec=  0.69 sec
wave =   0.80000   15.0(v) x   2.0(h)  1.52e+12 phs/sec Dose[10MGy]/sec=  0.76 sec
wave =   0.80000    3.0(v) x   3.0(h)  5.83e+11 phs/sec Dose[10MGy]/sec=  0.59 sec
wave =   0.80000    4.0(v) x   4.0(h)  1.06e+12 phs/sec Dose[10MGy]/sec=  0.55 sec
wave =   0.80000    5.0(v) x   5.0(h)  1.62e+12 phs/sec Dose[10MGy]/sec=  0.60 sec
wave =   0.80000   10.0(v) x   5.0(h)  3.09e+12 phs/sec Dose[10MGy]/sec=  0.61 sec
wave =   0.80000   15.0(v) x   5.0(h)  4.41e+12 phs/sec Dose[10MGy]/sec=  0.65 sec
wave =   0.80000   10.0(v) x  10.0(h)  5.68e+12 phs/sec Dose[10MGy]/sec=  0.67 sec
wave =   0.80000   15.0(v) x  10.0(h)  8.04e+12 phs/sec Dose[10MGy]/sec=  0.71 sec
wave =   0.80000    0.8(v) x   1.5(h)  8.75e+10 phs/sec Dose[10MGy]/sec=  0.52 sec
wave =   0.80000    4.3(v) x   3.4(h)  8.47e+11 phs/sec Dose[10MGy]/sec=  0.65 sec
wave =   0.80000   16.3(v) x  10.9(h)  1.11e+13 phs/sec Dose[10MGy]/sec=  0.61 sec
wave =   0.70000    1.0(v) x   1.5(h)  7.32e+10 phs/sec Dose[10MGy]/sec=  1.05 sec
wave =   0.70000    1.5(v) x   1.5(h)  1.04e+11 phs/sec Dose[10MGy]/sec=  1.15 sec
wave =   0.70000    2.0(v) x   1.5(h)  1.36e+11 phs/sec Dose[10MGy]/sec=  1.09 sec
wave =   0.70000    5.0(v) x   1.5(h)  3.14e+11 phs/sec Dose[10MGy]/sec=  1.24 sec
wave =   0.70000   10.0(v) x   1.5(h)  5.89e+11 phs/sec Dose[10MGy]/sec=  1.30 sec
wave =   0.70000   15.0(v) x   1.5(h)  8.27e+11 phs/sec Dose[10MGy]/sec=  1.39 sec
wave =   0.70000    2.0(v) x   2.0(h)  2.06e+11 phs/sec Dose[10MGy]/sec=  0.97 sec
wave =   0.70000    5.0(v) x   2.0(h)  4.76e+11 phs/sec Dose[10MGy]/sec=  1.06 sec
wave =   0.70000   10.0(v) x   2.0(h)  8.93e+11 phs/sec Dose[10MGy]/sec=  1.15 sec
wave =   0.70000   15.0(v) x   2.0(h)  1.25e+12 phs/sec Dose[10MGy]/sec=  1.28 sec
